En_loss_b2,Pos_2ps_b2,Neg_2ps_b2,PosErr_2ps_b2,NegErr_2ps_b2,Diff_2ps_b2,DiffErr_2ps_b2,Pos_10ps_b2_amp,Neg_10ps_b2_amp,PosErr_10ps_b2_amp,NegErr_10ps_b2_amp,Diff_10ps_b2_amp,DiffErr_10ps_b2_amp,EnQE_loss_b2,SigQE_2ps_b2,SigQE_m50ps_b2,SigErrQE_2ps_b2,SigErrQE_m50ps_b2,DiffQE_2ps_b2,DiffErrQE_2ps_b2
0.164677,299.543,293.084,17.3073,17.1197,6.45882,24.3439,280.902,265.198,19.1065,18.5648,15.7041,26.6404,0.113013,117.9,142.785,10.8582,11.9493,-24.8853,16.1457
0.145915,314.532,323.836,17.735,17.9954,-9.30404,25.2659,349.608,337.232,21.3155,20.9348,12.3758,29.8767,0.0942505,107.806,130.452,10.3829,11.4215,-22.6462,15.4356
0.127148,397.095,442.948,19.9272,21.0463,-45.853,28.9835,397.402,444.703,22.7258,24.0403,-47.3007,33.0817,0.0754834,104.632,90.5974,10.229,9.51827,14.0347,13.9725
0.108376,459.356,560.188,21.4326,23.6683,-100.832,31.9303,501.639,570.375,25.5329,27.2261,-68.7361,37.3254,0.0567112,125.927,85.9676,11.2217,9.27187,39.9597,14.5566
0.0895987,539.62,700.607,23.2297,26.469,-160.987,35.2169,607.035,695.722,28.0874,30.0693,-88.687,41.1469,0.0379339,103.713,74.6581,10.184,8.64049,29.0553,13.3556
0.0708163,659.869,707.998,25.6879,26.6082,-48.1286,36.9847,620.992,766.447,28.4085,31.5606,-145.455,42.4631,0.0191515,118.217,75.0147,10.8728,8.6611,43.2025,13.9008
0.0520289,697.157,750.161,26.4037,27.3891,-53.0036,38.0436,721.282,748.473,30.6166,31.1884,-27.1909,43.7046,0.000363957,116.986,71.3274,10.816,8.44556,45.6582,13.7227
0.0332363,809.843,811.235,28.4577,28.4822,-1.39176,40.2626,786.519,800.532,31.9712,32.2548,-14.0133,45.4151,-0.0184286,107.748,97.2043,10.3802,9.85923,10.5433,14.3161
0.0144387,966.607,871.924,31.0903,29.5284,94.6827,42.8781,886.314,836.651,33.939,32.9744,49.6627,47.3198,-0.0372262,81.5992,90.989,9.03323,9.53882,-9.38984,13.1373
-0.00436402,935.24,746.628,30.5817,27.3245,188.612,41.0106,783.967,714.917,31.9193,30.4813,69.0499,44.1356,-0.0560288,69.2975,70.4221,8.32451,8.39179,-1.12464,11.8203
-0.0231718,650.76,478.088,25.51,21.8652,172.672,33.5983,589.884,498.792,27.6878,25.4604,91.0913,37.6144,-0.0748367,49.5283,31.6151,7.03764,5.62273,17.9132,9.00797
-0.0419847,363.913,242.414,19.0765,15.5697,121.498,24.6237,338.127,246.623,20.9626,17.9028,91.5043,27.567,-0.0936495,40.8547,31.9796,6.39177,5.65505,8.87512,8.5343
